index,mae,rmse
67,0.325233,0.503566
301,0.323544,0.504289
553,0.348627,0.504297
892,0.334309,0.504473
389,0.356606,0.5049680000000001
871,0.33469299999999996,0.505061
500,0.364053,0.5050859999999999
266,0.345903,0.505497
625,0.324113,0.505657
768,0.329664,0.505935
744,0.34387199999999996,0.506193
384,0.332507,0.506911
357,0.324772,0.507499
874,0.321598,0.507572
110,0.352579,0.5076109999999999
450,0.342767,0.5077550000000001
852,0.362291,0.50857
109,0.34179899999999996,0.508579
405,0.35129699999999997,0.508681
252,0.352589,0.508868
239,0.329045,0.509043
62,0.325198,0.509185
112,0.325315,0.509416
606,0.33023600000000003,0.5097119999999999
173,0.32395799999999997,0.509767
235,0.362016,0.509799
654,0.357959,0.509926
881,0.33696,0.510109
838,0.346679,0.510138
225,0.34722,0.510138
581,0.33060100000000003,0.510444
218,0.342422,0.510893
63,0.341089,0.510987
489,0.339057,0.511001
250,0.326943,0.511458
458,0.366023,0.511847
271,0.325581,0.511882
5,0.344378,0.512433
322,0.33173400000000003,0.512699
396,0.32482300000000003,0.513617
130,0.374754,0.513698
548,0.367673,0.513729
792,0.317954,0.5138699999999999
163,0.368253,0.513935
634,0.330691,0.514149
1,0.348585,0.5142359999999999
640,0.37690100000000004,0.514314
884,0.332054,0.514351
365,0.332424,0.514374
846,0.349067,0.514509
578,0.345773,0.514659
867,0.32564899999999997,0.51493
340,0.35380700000000004,0.515055
840,0.368819,0.515123
518,0.377204,0.515242
211,0.315216,0.5153369999999999
887,0.348628,0.5153989999999999
756,0.358611,0.515454
645,0.320276,0.5156350000000001
473,0.355802,0.516237
543,0.344194,0.5163399999999999
418,0.32609499999999997,0.516821
680,0.379938,0.517112
323,0.352148,0.5175569999999999
117,0.355433,0.517664
338,0.34376599999999996,0.517898
70,0.364213,0.51802
630,0.336582,0.518204
693,0.361009,0.5182180000000001
300,0.343434,0.518383
399,0.352475,0.5186
335,0.339343,0.518623
636,0.322617,0.519208
532,0.331083,0.519323
208,0.346292,0.519586
796,0.38615700000000003,0.519737
406,0.335052,0.519953
650,0.329926,0.520202
316,0.350484,0.520207
598,0.385296,0.520313
611,0.365012,0.520731
635,0.34089899999999995,0.5208729999999999
610,0.372792,0.521151
64,0.327517,0.521486
597,0.32864499999999996,0.521591
825,0.342891,0.521621
449,0.361771,0.521648
79,0.36828299999999997,0.5219090000000001
531,0.347508,0.5222060000000001
732,0.368992,0.5224
676,0.38395,0.522415
25,0.345042,0.522532
415,0.320752,0.522894
850,0.364573,0.522915
346,0.359718,0.522954
446,0.317096,0.522965
140,0.348553,0.522981
349,0.35729,0.5232720000000001
633,0.33596,0.523536
688,0.34986300000000004,0.523927
157,0.337756,0.5239560000000001
313,0.36493600000000004,0.524018
613,0.369879,0.524154
656,0.359014,0.524516
345,0.35294899999999996,0.524569
103,0.373008,0.524667
583,0.364773,0.5249199999999999
795,0.352105,0.524954
573,0.384044,0.525019
579,0.35451,0.525111
891,0.37085500000000005,0.525149
124,0.34324899999999997,0.525301
471,0.326448,0.525479
7,0.386708,0.525676
586,0.332345,0.525812
328,0.369178,0.525858
733,0.361244,0.5261859999999999
267,0.379398,0.526247
439,0.38024,0.526508
481,0.322332,0.526575
742,0.357147,0.526596
617,0.350995,0.526928
21,0.36633699999999997,0.526943
88,0.373906,0.527104
713,0.348993,0.527137
724,0.37085100000000004,0.52733
447,0.347977,0.527508
461,0.350722,0.5277270000000001
491,0.346883,0.527799
569,0.327811,0.5279560000000001
527,0.393513,0.528004
521,0.382657,0.528043
202,0.326559,0.528184
59,0.311307,0.528547
327,0.350086,0.528579
877,0.34583400000000003,0.528604
92,0.3618,0.528673
324,0.357792,0.528937
207,0.340539,0.52913
832,0.344891,0.5292180000000001
855,0.35634899999999997,0.529257
341,0.364692,0.5293
364,0.350434,0.529306
334,0.353823,0.529457
198,0.339447,0.529763
723,0.386362,0.529854
260,0.319805,0.529921
137,0.321405,0.5300630000000001
413,0.345369,0.530137
701,0.349564,0.530162
422,0.401292,0.5302100000000001
76,0.350221,0.530572
763,0.386865,0.530592
526,0.38216500000000003,0.530878
568,0.35047,0.531086
293,0.332075,0.531362
362,0.384038,0.531385
626,0.368231,0.531608
57,0.333005,0.531744
704,0.36044899999999996,0.532173
584,0.362153,0.532187
551,0.372781,0.5324479999999999
150,0.355057,0.532468
