,activation,batch_size,columns_full,data_directory,data_name,features,hidden_layers,input_dim,num_epochs,optimizer
4597,sigmoid,64,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_3Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]","[4, 8]",6,2000,adam
4598,relu,64,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_3Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['canonical_memory_usage']]","[8, 8]",18,3000,adam
4599,tanh,64,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_8Minutes_6176858948,"[['canonical_memory_usage'], ['canonical_memory_usage']]",[4],12,2000,adam
4600,tanh,64,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['canonical_memory_usage'], ['canonical_memory_usage']]",[16],12,1000,adam
4601,tanh,32,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_8Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]","[4, 8]",18,2000,adam
4602,sigmoid,16,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_3Minutes_6176858948,"[['canonical_memory_usage'], ['canonical_memory_usage']]",[4],12,1000,adam
4603,tanh,32,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['canonical_memory_usage']]",[16],6,3000,adam
4604,relu,64,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]",[4],6,2000,adam
4605,relu,64,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['canonical_memory_usage']]",[16],12,3000,adam
4606,sigmoid,16,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_3Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['canonical_memory_usage']]",[4],12,2000,adam
4607,tanh,16,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['canonical_memory_usage'], ['canonical_memory_usage']]",[4],18,2000,adam
4608,sigmoid,64,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]",[8],12,1000,adam
4609,sigmoid,8,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['canonical_memory_usage']]","[4, 8]",18,3000,adam
4610,sigmoid,16,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['canonical_memory_usage']]",[4],18,3000,adam
4611,sigmoid,16,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]",[8],6,2000,adam
4612,tanh,16,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['canonical_memory_usage']]","[4, 8]",12,1000,adam
4613,tanh,32,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['canonical_memory_usage'], ['canonical_memory_usage']]",[4],18,3000,adam
4614,sigmoid,64,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['canonical_memory_usage'], ['canonical_memory_usage']]","[8, 8]",18,3000,adam
4615,relu,16,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['canonical_memory_usage'], ['canonical_memory_usage']]",[8],6,2000,adam
4616,sigmoid,32,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]","[4, 8]",6,1000,adam
4617,relu,16,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_3Minutes_6176858948,"[['canonical_memory_usage'], ['canonical_memory_usage']]","[8, 8]",12,3000,adam
4618,tanh,8,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_3Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]",[8],12,3000,adam
4619,sigmoid,64,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]","[8, 8]",12,3000,adam
4620,tanh,64,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['canonical_memory_usage']]",[16],6,1000,adam
4621,tanh,32,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_8Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]",[4],18,3000,adam
4622,relu,32,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_3Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]",[16],18,3000,adam
4623,tanh,16,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_8Minutes_6176858948,"[['canonical_memory_usage'], ['canonical_memory_usage']]",[8],18,3000,adam
4624,tanh,32,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_8Minutes_6176858948,"[['canonical_memory_usage'], ['canonical_memory_usage']]","[4, 8]",6,1000,adam
4625,relu,32,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_3Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]",[16],12,2000,adam
4626,tanh,64,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]",[4],18,3000,adam
4627,relu,32,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_3Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]",[4],18,1000,adam
4628,sigmoid,8,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_3Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['canonical_memory_usage']]",[8],18,2000,adam
4629,sigmoid,16,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]","[4, 8]",18,1000,adam
4630,relu,64,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['canonical_memory_usage']]",[8],12,2000,adam
4631,tanh,8,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_3Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]","[8, 8]",18,1000,adam
4632,sigmoid,32,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_3Minutes_6176858948,"[['canonical_memory_usage'], ['canonical_memory_usage']]","[8, 8]",18,3000,adam
4633,relu,8,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['canonical_memory_usage'], ['canonical_memory_usage']]","[4, 8]",12,2000,adam
4634,sigmoid,8,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",[16],6,3000,adam
4635,relu,8,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['canonical_memory_usage'], ['canonical_memory_usage']]",[16],6,3000,adam
4636,relu,16,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['canonical_memory_usage'], ['canonical_memory_usage']]","[4, 8]",12,1000,adam
4637,relu,16,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]",[8],18,2000,adam
4638,sigmoid,8,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_8Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]",[16],12,3000,adam
4639,sigmoid,16,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_8Minutes_6176858948,"[['canonical_memory_usage'], ['canonical_memory_usage']]",[16],18,3000,adam
4640,relu,32,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_3Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['canonical_memory_usage']]","[8, 8]",6,3000,adam
4641,relu,32,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['canonical_memory_usage'], ['canonical_memory_usage']]","[8, 8]",12,2000,adam
4642,tanh,8,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_8Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]",[4],18,1000,adam
4643,sigmoid,64,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['canonical_memory_usage']]",[8],18,2000,adam
4644,sigmoid,16,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['canonical_memory_usage']]","[8, 8]",12,3000,adam
4645,relu,64,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_3Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]",[4],18,1000,adam
4646,tanh,64,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_10Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['meanCPUUsage']]",[16],12,1000,adam
4647,tanh,32,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_8Minutes_6176858948,"[['meanCPUUsage', 'canonical_memory_usage'], ['canonical_memory_usage']]","[4, 8]",12,2000,adam
4648,sigmoid,16,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_3Minutes_6176858948,"[['canonical_memory_usage'], ['canonical_memory_usage']]",[8],18,3000,adam
4649,relu,8,"['time_stamp', 'numberOfTaskIndex', 'numberOfMachineId', 'meanCPUUsage', 'canonical_memory_usage', 'AssignMem', 'unmapped_cache_usage', 'page_cache_usage', 'max_mem_usage', 'mean_diskIO_time', 'mean_local_disk_space', 'max_cpu_usage', 'max_disk_io_time', 'cpi', 'mai', 'sampling_portion', 'agg_type', 'sampled_cpu_usage']",./data/,data_resource_usage_5Minutes_6176858948,"[['meanCPUUsage'], ['meanCPUUsage']]","[8, 8]",12,1000,adam
